Ngày,Khu vực,Nhà Phân Phối,Sản phẩm, Doanh thu 
21-Apr-2020,Miền Nam,VNPT,SP 09, 400.00 
06-Mar-2019,Miền Bắc,Viettel,SP 01, 559.65 
01-May-2020,Miền Trung,FPT,SP 04, 102.00 
24-Nov-2019,Miền Trung,Gà Excel,SP 04, 100.98 
13-Feb-2020,Miền Bắc,VNPT,SP 03, 24.75 
16-Dec-2019,Miền Bắc,Viettel,SP 08, 45.44 
22-Aug-2019,Miền Nam,FPT,SP 07, 45.83 
30-Dec-2019,Miền Nam,Gà Excel,SP 10, 80.85 
14-Dec-2020,Miền Trung,VNPT,SP 05, 45.21 
06-Nov-2020,Miền Nam,Viettel,SP 09, 75.00 
12-Jul-2020,Miền Trung,FPT,SP 09, 48.50 
11-Oct-2020,Miền Nam,Gà Excel,SP 06, 117.60 
16-Dec-2020,Miền Trung,VNPT,SP 05, 44.75 
20-Aug-2019,Miền Bắc,Viettel,SP 09, 73.50 
02-Nov-2020,Miền Trung,FPT,SP 05, 337.37 
25-Mar-2019,Miền Bắc,Gà Excel,SP 05, 22.26 
21-May-2019,Miền Bắc,VNPT,SP 08, 67.13 
16-Oct-2020,Miền Bắc,Viettel,SP 04, 66.30 
07-Dec-2019,Miền Nam,FPT,SP 01, 155.90 
07-Nov-2019,Miền Bắc,Gà Excel,SP 08, 68.85 
18-Sep-2020,Miền Nam,VNPT,SP 04, 68.00 
16-May-2019,Miền Nam,Viettel,SP 08, 68.85 
16-Dec-2020,Miền Nam,FPT,SP 09, 25.00 
13-Nov-2020,Miền Trung,Gà Excel,SP 05, 44.98 
14-Dec-2020,Miền Bắc,VNPT,SP 04, 66.98 
12-May-2019,Miền Nam,Viettel,SP 06, 29.10 
10-Nov-2019,Miền Nam,FPT,SP 06, 60.00 
29-Dec-2019,Miền Nam,Gà Excel,SP 02, 58.35 
02-Nov-2020,Miền Trung,VNPT,SP 06, 58.80 
16-Apr-2019,Miền Nam,Viettel,SP 09, 74.25 
06-Aug-2019,Miền Bắc,FPT,SP 10, 55.00 
16-Jan-2019,Miền Trung,Gà Excel,SP 09, 48.75 
22-Dec-2020,Miền Nam,VNPT,SP 08, 45.90 
04-Dec-2020,Miền Nam,Viettel,SP 06, 180.00 
17-Dec-2020,Miền Bắc,FPT,SP 01, 79.95 
26-Nov-2020,Miền Trung,Gà Excel,SP 03, 50.00 
28-Dec-2019,Miền Nam,VNPT,SP 01, 236.25 
09-Nov-2019,Miền Trung,Viettel,SP 04, 99.45 
09-Jan-2019,Miền Trung,FPT,SP 09, 72.75 
01-Aug-2020,Miền Nam,Gà Excel,SP 05, 45.44 
28-Dec-2020,Miền Trung,VNPT,SP 08, 67.13 
09-Mar-2019,Miền Nam,Viettel,SP 08, 66.78 
31-Mar-2020,Miền Bắc,FPT,SP 01, 77.55 
11-Oct-2019,Miền Nam,Gà Excel,SP 02, 39.90 
23-Apr-2019,Miền Nam,VNPT,SP 04, 34.00 
06-Aug-2019,Miền Trung,Viettel,SP 07, 69.09 
24-Nov-2020,Miền Nam,FPT,SP 04, 67.32 
17-Dec-2019,Miền Bắc,Gà Excel,SP 04, 33.32 
11-Nov-2020,Miền Bắc,VNPT,SP 10, 80.85 
20-Jan-2020,Miền Trung,Viettel,SP 02, 58.05 
01-Nov-2019,Miền Trung,FPT,SP 04, 34.00 
23-Apr-2020,Miền Bắc,Gà Excel,SP 10, 27.50 
29-Dec-2019,Miền Trung,VNPT,SP 02, 59.85 
25-Feb-2020,Miền Bắc,Viettel,SP 08, 91.80 
17-Nov-2019,Miền Trung,FPT,SP 04, 170.00 
26-Aug-2020,Miền Nam,Gà Excel,SP 02, 59.85 
23-Feb-2020,Miền Trung,VNPT,SP 04, 544.00 
14-Dec-2019,Miền Bắc,Viettel,SP 05, 358.02 
21-Dec-2019,Miền Nam,FPT,SP 05, 45.90 
17-Oct-2020,Miền Trung,Gà Excel,SP 08, 67.47 
28-Aug-2019,Miền Trung,VNPT,SP 05, 66.78 
03-Nov-2019,Miền Trung,Viettel,SP 07, 69.09 
28-Jul-2020,Miền Bắc,FPT,SP 03, 50.00 
07-Nov-2019,Miền Trung,Gà Excel,SP 08, 22.95 
19-Oct-2020,Miền Nam,VNPT,SP 09, 73.50 
29-Jun-2020,Miền Nam,Viettel,SP 01," 1,119.30 "
25-Dec-2020,Miền Trung,FPT,SP 09, 48.50 
16-Jul-2020,Miền Bắc,Gà Excel,SP 05, 45.90 
17-Aug-2019,Miền Nam,VNPT,SP 04, 67.32 
16-Jan-2020,Miền Nam,Viettel,SP 05, 45.21 
24-Sep-2020,Miền Trung,FPT,SP 07, 45.83 
27-Feb-2020,Miền Trung,Gà Excel,SP 10, 54.18 
12-Jun-2019,Miền Bắc,VNPT,SP 04, 68.00 
21-Dec-2019,Miền Trung,Viettel,SP 09, 48.75 
26-Jul-2020,Miền Trung,FPT,SP 04, 100.98 
18-Apr-2019,Miền Nam,Gà Excel,SP 09, 72.75 
06-Nov-2020,Miền Trung,VNPT,SP 07, 69.80 
19-Dec-2019,Miền Trung,Viettel,SP 09, 50.00 
14-Jul-2020,Miền Bắc,FPT,SP 05, 67.82 
20-Nov-2019,Miền Nam,Gà Excel,SP 09, 48.50 
02-Oct-2020,Miền Trung,VNPT,SP 04, 32.98 
03-Nov-2019,Miền Bắc,Viettel,SP 09, 75.00 
14-May-2019,Miền Nam,FPT,SP 08, 66.78 
17-May-2020,Miền Trung,Gà Excel,SP 04, 100.47 
23-Nov-2020,Miền Nam,VNPT,SP 06, 58.80 
18-Dec-2019,Miền Nam,Viettel,SP 09, 73.88 
03-Apr-2020,Miền Nam,FPT,SP 08, 67.13 
29-Dec-2019,Miền Nam,Gà Excel,SP 08, 89.05 
12-Dec-2019,Miền Trung,VNPT,SP 05, 44.75 
05-Oct-2020,Miền Nam,Viettel,SP 08, 44.98 
21-Sep-2019,Miền Nam,FPT,SP 05, 45.90 
22-Nov-2020,Miền Trung,Gà Excel,SP 10, 53.35 
12-Nov-2019,Miền Nam,VNPT,SP 01, 155.90 
01-Nov-2020,Miền Trung,Viettel,SP 08, 67.13 
01-Nov-2020,Miền Bắc,FPT,SP 08, 68.85 
24-Mar-2019,Miền Trung,Gà Excel,SP 09, 74.25 
04-Nov-2020,Miền Nam,VNPT,SP 07, 68.39 
27-Nov-2019,Miền Trung,Viettel,SP 06, 90.00 
03-Dec-2020,Miền Bắc,FPT,SP 08, 68.85 
07-Sep-2020,Miền Trung,Gà Excel,SP 09, 48.50 
19-Dec-2020,Miền Trung,VNPT,SP 01, 237.45 
19-Nov-2020,Miền Nam,Viettel,SP 05, 22.26 
05-Nov-2019,Miền Nam,FPT,SP 06, 58.80 
09-Apr-2020,Miền Bắc,Gà Excel,SP 06, 58.50 
10-Dec-2019,Miền Trung,VNPT,SP 03, 50.00 
04-Dec-2020,Miền Trung,Viettel,SP 09, 125.00 
12-Nov-2020,Miền Trung,FPT,SP 05, 45.90 
12-Nov-2020,Miền Nam,Gà Excel,SP 09, 75.00 
01-Feb-2019,Miền Nam,VNPT,SP 02, 58.35 
27-Nov-2020,Miền Nam,Viettel,SP 06, 58.20 
28-Jun-2019,Miền Trung,FPT,SP 02, 334.06 
01-Nov-2019,Miền Bắc,Gà Excel,SP 04, 33.32 
19-Feb-2020,Miền Bắc,VNPT,SP 03, 50.00 
04-Jan-2019,Miền Nam,Viettel,SP 09, 48.75 
04-Dec-2019,Miền Bắc,FPT,SP 04, 100.98 
03-Nov-2020,Miền Bắc,Gà Excel,SP 09, 50.00 
16-Jul-2019,Miền Trung,VNPT,SP 06, 60.00 
13-Jun-2019,Miền Trung,Viettel,SP 04, 102.00 
11-Feb-2019,Miền Nam,FPT,SP 02, 39.10 
12-Nov-2020,Miền Trung,Gà Excel,SP 06, 58.20 
12-Nov-2019,Miền Trung,VNPT,SP 04, 34.00 
06-Jul-2019,Miền Nam,Viettel,SP 09, 50.00 
27-Oct-2019,Miền Bắc,FPT,SP 08, 44.75 
25-Nov-2019,Miền Trung,Gà Excel,SP 06, 29.10 
08-Jun-2020,Miền Nam,VNPT,SP 06, 59.10 
27-Sep-2020,Miền Trung,Viettel,SP 02, 19.75 
12-May-2019,Miền Trung,FPT,SP 05, 45.90 
27-Nov-2020,Miền Nam,Gà Excel,SP 09, 371.25 
29-Dec-2020,Miền Bắc,VNPT,SP 08, 67.47 
04-Nov-2020,Miền Bắc,Viettel,SP 04, 34.00 
28-Mar-2020,Miền Trung,FPT,SP 04, 66.98 
18-Feb-2020,Miền Trung,Gà Excel,SP 06, 29.10 
04-Nov-2019,Miền Nam,VNPT,SP 04, 828.75 
06-Dec-2020,Miền Trung,Viettel,SP 05, 44.75 
12-Jan-2019,Miền Nam,FPT,SP 09, 74.25 
09-Apr-2020,Miền Nam,Gà Excel,SP 02, 58.95 
26-Feb-2020,Miền Nam,VNPT,SP 08, 91.80 
30-Dec-2020,Miền Nam,Viettel,SP 09, 98.00 
26-Jul-2019,Miền Nam,FPT,SP 01, 159.90 
08-Sep-2020,Miền Nam,Gà Excel,SP 05, 68.85 
31-Dec-2020,Miền Nam,VNPT,SP 07, 47.00 
16-Nov-2020,Miền Nam,Viettel,SP 02, 79.00 
26-Feb-2019,Miền Trung,FPT,SP 05, 44.75 
19-Mar-2020,Miền Trung,Gà Excel,SP 02, 39.90 
15-Dec-2020,Miền Trung,VNPT,SP 08, 67.47 
12-Sep-2019,Miền Bắc,Viettel,SP 05, 68.85 
10-Nov-2019,Miền Bắc,FPT,SP 04, 68.00 
02-Nov-2020,Miền Trung,Gà Excel,SP 01, 239.85 
16-Mar-2019,Miền Nam,VNPT,SP 08, 22.38 
30-Jan-2019,Miền Nam,Viettel,SP 08, 22.49 
15-Jun-2020,Miền Trung,FPT,SP 05, 45.90 
25-Aug-2020,Miền Nam,Gà Excel,SP 09, 74.25 
07-Dec-2020,Miền Trung,VNPT,SP 05, 66.78 
08-Mar-2019,Miền Nam,Viettel,SP 08, 44.75 
17-Nov-2020,Miền Nam,FPT,SP 04, 66.30 
08-Dec-2019,Miền Trung,Gà Excel,SP 05, 44.75 
24-Nov-2020,Miền Nam,VNPT,SP 07, 23.50 
16-Mar-2020,Miền Trung,Viettel,SP 07, 46.53 
23-Dec-2020,Miền Nam,FPT,SP 07, 276.36 
08-Nov-2019,Miền Trung,Gà Excel,SP 04, 102.00 
08-Dec-2020,Miền Trung,VNPT,SP 07, 46.30 
09-Oct-2020,Miền Bắc,Viettel,SP 02, 39.30 
30-Nov-2020,Miền Bắc,FPT,SP 03, 74.25 
29-Jul-2020,Miền Trung,Gà Excel,SP 06, 60.00 
17-Dec-2020,Miền Nam,VNPT,SP 04, 34.00 
02-Nov-2020,Miền Bắc,Viettel,SP 09, 75.00 
31-Oct-2020,Miền Bắc,FPT,SP 05, 45.90 
29-Nov-2019,Miền Nam,Gà Excel,SP 05, 45.90 
10-Nov-2019,Miền Nam,VNPT,SP 05, 298.35 
22-May-2020,Miền Bắc,Viettel,SP 09, 25.00 
02-Jul-2019,Miền Nam,FPT,SP 02, 19.95 
12-Nov-2020,Miền Nam,Gà Excel,SP 04, 133.96 
09-Apr-2020,Miền Nam,VNPT,SP 04, 68.00 
24-Feb-2020,Miền Nam,Viettel,SP 01, 157.50 
18-Sep-2020,Miền Trung,FPT,SP 02, 39.10 
04-Jun-2020,Miền Trung,Gà Excel,SP 04, 66.64 
21-Nov-2019,Miền Bắc,VNPT,SP 08, 22.95 
05-Nov-2020,Miền Bắc,Viettel,SP 08, 45.90 
10-Nov-2019,Miền Trung,FPT,SP 08, 22.95 
12-May-2020,Miền Nam,Gà Excel,SP 05, 68.85 
05-Dec-2020,Miền Trung,VNPT,SP 06, 30.00 
05-May-2020,Miền Nam,Viettel,SP 01, 236.25 
24-Nov-2019,Miền Nam,FPT,SP 01," 1,023.76 "
21-Sep-2020,Miền Trung,Gà Excel,SP 04, 33.32 
24-Nov-2019,Miền Trung,VNPT,SP 09, 75.00 
07-Feb-2019,Miền Bắc,Viettel,SP 04, 34.00 
27-Dec-2019,Miền Nam,FPT,SP 06, 60.00 
25-Jun-2019,Miền Nam,Gà Excel,SP 09, 48.75 
18-Dec-2019,Miền Nam,VNPT,SP 04, 68.00 
14-Oct-2019,Miền Trung,Viettel,SP 06, 59.10 
11-Sep-2020,Miền Trung,FPT,SP 02, 59.85 
27-Jul-2020,Miền Nam,Gà Excel,SP 08, 22.72 
09-Jun-2019,Miền Nam,VNPT,SP 08, 67.13 
27-Dec-2020,Miền Trung,Viettel,SP 03, 75.00 
17-Oct-2020,Miền Trung,FPT,SP 09, 25.00 
19-Dec-2019,Miền Bắc,Gà Excel,SP 02, 39.10 
17-Mar-2019,Miền Trung,VNPT,SP 08, 22.95 
13-Sep-2020,Miền Bắc,Viettel,SP 01, 239.85 
13-Feb-2020,Miền Nam,FPT,SP 05, 67.47 
04-Sep-2019,Miền Trung,Gà Excel,SP 02, 19.95 
22-Mar-2019,Miền Trung,VNPT,SP 07, 69.44 
11-Nov-2020,Miền Bắc,Viettel,SP 07, 23.50 
06-Dec-2020,Miền Trung,FPT,SP 04, 66.30 
20-Nov-2020,Miền Nam,Gà Excel,SP 03, 75.00 
04-Nov-2019,Miền Trung,VNPT,SP 03, 75.00 
17-Nov-2019,Miền Bắc,Viettel,SP 01, 156.70 
24-Jun-2020,Miền Nam,FPT,SP 09, 48.75 
12-Nov-2019,Miền Trung,Gà Excel,SP 06, 30.00 
21-Nov-2020,Miền Bắc,VNPT,SP 05, 22.49 
15-Feb-2019,Miền Bắc,Viettel,SP 03, 49.50 
26-Jul-2020,Miền Bắc,FPT,SP 06, 58.50 
30-May-2019,Miền Nam,Gà Excel,SP 04, 100.98 
20-Nov-2019,Miền Trung,VNPT,SP 02, 19.95 
13-Dec-2020,Miền Nam,Viettel,SP 01, 775.52 
02-Dec-2020,Miền Nam,FPT,SP 07, 47.00 
01-May-2019,Miền Nam,Gà Excel,SP 03, 75.00 
23-Aug-2019,Miền Trung,VNPT,SP 08, 22.61 
16-Aug-2020,Miền Trung,Viettel,SP 06, 150.00 
04-Dec-2019,Miền Trung,FPT,SP 02, 39.90 
09-Oct-2019,Miền Trung,Gà Excel,SP 05, 68.85 
07-Mar-2020,Miền Nam,VNPT,SP 08, 44.98 
30-Nov-2020,Miền Trung,Viettel,SP 03, 73.50 
05-May-2020,Miền Nam,FPT,SP 07, 46.06 
02-Dec-2019,Miền Nam,Gà Excel,SP 07, 68.74 
05-Oct-2019,Miền Nam,VNPT,SP 01, 233.85 
19-Aug-2019,Miền Bắc,Viettel,SP 07, 46.06 
17-Dec-2020,Miền Trung,FPT,SP 03, 218.25 
18-Nov-2019,Miền Trung,Gà Excel,SP 08, 68.85 
25-Nov-2019,Miền Trung,VNPT,SP 09, 73.13 
17-Oct-2019,Miền Trung,Viettel,SP 09, 98.00 
18-Dec-2020,Miền Nam,FPT,SP 01, 158.30 
06-Nov-2019,Miền Nam,Gà Excel,SP 05, 89.05 
07-Dec-2020,Miền Bắc,VNPT,SP 02, 58.95 
06-Jul-2020,Miền Nam,Viettel,SP 05, 44.52 
18-Nov-2019,Miền Trung,FPT,SP 07, 23.50 
26-Oct-2019,Miền Bắc,Gà Excel,SP 01, 158.30 
07-Nov-2020,Miền Nam,VNPT,SP 08, 67.82 
10-Aug-2019,Miền Trung,Viettel,SP 04, 33.49 
21-Aug-2019,Miền Nam,FPT,SP 02, 38.90 
17-Dec-2020,Miền Bắc,Gà Excel,SP 09, 511.88 
19-Feb-2020,Miền Trung,VNPT,SP 07, 70.50 
26-Dec-2020,Miền Nam,Viettel,SP 05, 68.85 
20-Dec-2020,Miền Nam,FPT,SP 08, 45.90 
30-Dec-2020,Miền Bắc,Gà Excel,SP 05, 67.47 
06-Nov-2019,Miền Trung,VNPT,SP 02, 58.05 
16-Mar-2020,Miền Nam,Viettel,SP 02, 19.45 
29-May-2019,Miền Bắc,FPT,SP 05, 22.95 
20-Dec-2019,Miền Trung,Gà Excel,SP 09, 75.00 
17-Jan-2019,Miền Nam,VNPT,SP 02, 39.30 
30-Jan-2020,Miền Bắc,Viettel,SP 04, 32.98 
20-Nov-2019,Miền Nam,FPT,SP 07, 92.59 
17-Nov-2020,Miền Bắc,Gà Excel,SP 08, 45.44 
17-Dec-2020,Miền Nam,VNPT,SP 06, 120.00 
27-Nov-2019,Miền Trung,Viettel,SP 10, 55.00 
04-Apr-2020,Miền Nam,FPT,SP 04, 33.15 
22-Nov-2019,Miền Bắc,Gà Excel,SP 02, 59.85 
15-Jul-2020,Miền Nam,VNPT,SP 03, 75.00 
04-Dec-2020,Miền Bắc,Viettel,SP 03, 74.25 
18-Oct-2020,Miền Trung,FPT,SP 01, 239.85 
22-Dec-2019,Miền Trung,Gà Excel,SP 02, 59.85 
26-Dec-2020,Miền Trung,VNPT,SP 09, 75.00 
05-Jul-2020,Miền Nam,Viettel,SP 02, 39.90 
17-Dec-2019,Miền Trung,FPT,SP 10, 55.00 
01-Nov-2019,Miền Nam,Gà Excel,SP 03, 75.00 
12-Dec-2019,Miền Bắc,VNPT,SP 04, 33.49 
03-Aug-2019,Miền Trung,Viettel,SP 05, 413.10 
15-Nov-2019,Miền Trung,FPT,SP 02, 176.86 
23-Apr-2019,Miền Nam,Gà Excel,SP 08, 22.61 
21-Dec-2019,Miền Bắc,VNPT,SP 03, 24.25 
09-Feb-2019,Miền Nam,Viettel,SP 08, 45.90 
03-Nov-2019,Miền Nam,FPT,SP 03, 24.25 
22-Dec-2019,Miền Trung,Gà Excel,SP 08, 22.95 
10-Mar-2020,Miền Trung,VNPT,SP 03, 49.00 
01-Jan-2020,Miền Trung,Viettel,SP 07, 69.80 
09-May-2020,Miền Nam,FPT,SP 05, 68.85 
02-Mar-2020,Miền Nam,Gà Excel,SP 05, 67.13 
10-Nov-2019,Miền Nam,VNPT,SP 09, 48.50 
06-Dec-2019,Miền Trung,Viettel,SP 10, 440.00 
01-Mar-2019,Miền Nam,FPT,SP 06, 60.00 
02-Nov-2020,Miền Nam,Gà Excel,SP 09, 25.00 
04-Sep-2020,Miền Trung,VNPT,SP 03, 48.75 
03-Jul-2020,Miền Trung,Viettel,SP 02, 58.65 
14-Nov-2019,Miền Bắc,FPT,SP 05, 44.52 
19-May-2020,Miền Nam,Gà Excel,SP 03, 24.25 
09-Dec-2020,Miền Nam,VNPT,SP 02, 58.35 
11-Dec-2020,Miền Trung,Viettel,SP 02, 19.65 
19-Dec-2019,Miền Nam,FPT,SP 01, 156.70 
17-Dec-2020,Miền Trung,Gà Excel,SP 06, 58.80 
04-Jul-2019,Miền Trung,VNPT,SP 05, 45.90 
22-Feb-2019,Miền Bắc,Viettel,SP 07, 68.74 
24-Apr-2019,Miền Nam,FPT,SP 05, 44.52 
27-Mar-2019,Miền Bắc,Gà Excel,SP 04, 66.64 
24-Nov-2019,Miền Nam,VNPT,SP 02, 58.05 
13-Nov-2020,Miền Trung,Viettel,SP 08, 45.21 
22-Nov-2020,Miền Trung,FPT,SP 07, 70.50 
16-Jun-2019,Miền Bắc,Gà Excel,SP 07, 22.80 
30-Dec-2019,Miền Nam,VNPT,SP 09, 48.50 
17-Sep-2019,Miền Nam,Viettel,SP 01, 77.95 
15-Mar-2020,Miền Nam,FPT,SP 05, 45.21 
12-Apr-2020,Miền Nam,Gà Excel,SP 08, 359.86 
22-Jul-2019,Miền Trung,VNPT,SP 03, 100.00 
10-Nov-2019,Miền Nam,Viettel,SP 10, 27.09 
04-Jun-2019,Miền Bắc,FPT,SP 08, 449.82 
22-Dec-2020,Miền Bắc,Gà Excel,SP 02, 39.10 
23-Feb-2020,Miền Nam,VNPT,SP 04, 98.94 
01-Dec-2020,Miền Nam,Viettel,SP 09, 50.00 
10-Nov-2019,Miền Bắc,FPT,SP 02, 59.25 
16-Nov-2020,Miền Trung,Gà Excel,SP 01, 159.90 
08-Oct-2020,Miền Trung,VNPT,SP 04, 34.00 
21-Jun-2020,Miền Trung,Viettel,SP 08, 68.85 
15-Nov-2020,Miền Bắc,FPT,SP 07, 69.09 
16-Nov-2019,Miền Trung,Gà Excel,SP 07, 47.00 
21-Mar-2019,Miền Nam,VNPT,SP 05, 44.75 
02-Nov-2019,Miền Bắc,Viettel,SP 05, 68.85 
05-Nov-2019,Miền Bắc,FPT,SP 04, 100.98 
24-Nov-2020,Miền Nam,Gà Excel,SP 05, 67.13 
04-Dec-2019,Miền Bắc,VNPT,SP 06, 90.00 
28-Nov-2019,Miền Trung,Viettel,SP 01, 159.90 
11-Dec-2020,Miền Bắc,FPT,SP 04, 68.00 
09-May-2019,Miền Nam,Gà Excel,SP 02, 339.15 
16-Nov-2019,Miền Nam,VNPT,SP 09, 99.00 
30-Nov-2020,Miền Nam,Viettel,SP 01, 159.90 
10-May-2019,Miền Nam,FPT,SP 01, 158.30 
18-Sep-2019,Miền Trung,Gà Excel,SP 03, 500.00 
01-Mar-2020,Miền Nam,VNPT,SP 02, 19.95 
09-Feb-2019,Miền Trung,Viettel,SP 04, 34.00 
18-Nov-2020,Miền Nam,FPT,SP 07, 69.80 
06-Nov-2019,Miền Nam,Gà Excel,SP 03, 125.00 
22-Feb-2020,Miền Trung,VNPT,SP 05, 45.90 
06-Dec-2019,Miền Bắc,Viettel,SP 03, 475.00 
29-Nov-2020,Miền Nam,FPT,SP 02, 59.85 
21-Sep-2019,Miền Nam,Gà Excel,SP 03, 50.00 
22-Feb-2020,Miền Nam,VNPT,SP 02, 19.95 
24-Nov-2020,Miền Bắc,Viettel,SP 09, 24.63 
03-Mar-2019,Miền Nam,FPT,SP 07, 47.00 
11-Dec-2019,Miền Bắc,Gà Excel,SP 06, 90.00 
17-Dec-2019,Miền Trung,VNPT,SP 04, 65.96 
11-Jan-2019,Miền Bắc,Viettel,SP 05, 22.72 
02-Nov-2020,Miền Trung,FPT,SP 03, 49.25 
03-Nov-2019,Miền Trung,Gà Excel,SP 08, 44.52 
31-Mar-2019,Miền Nam,VNPT,SP 04, 544.00 
26-Dec-2020,Miền Trung,Viettel,SP 03, 72.75 
01-Dec-2019,Miền Trung,FPT,SP 05, 22.26 
20-Dec-2019,Miền Trung,Gà Excel,SP 02, 39.90 
30-Jul-2020,Miền Trung,VNPT,SP 09, 75.00 
18-Oct-2019,Miền Nam,Viettel,SP 08, 22.72 
14-Jan-2020,Miền Nam,FPT,SP 07, 70.50 
18-Dec-2020,Miền Trung,Gà Excel,SP 10, 27.23 
11-Dec-2020,Miền Nam,VNPT,SP 07, 46.53 
07-Jul-2020,Miền Nam,Viettel,SP 05, 45.21 
02-May-2020,Miền Bắc,FPT,SP 09, 24.75 
18-Nov-2019,Miền Bắc,Gà Excel,SP 04, 67.32 
24-Dec-2019,Miền Nam,VNPT,SP 09, 50.00 
02-Nov-2019,Miền Nam,Viettel,SP 02, 39.30 
02-Nov-2020,Miền Nam,FPT,SP 08, 45.90 
19-Nov-2020,Miền Bắc,Gà Excel,SP 04, 98.94 
29-Dec-2020,Miền Trung,VNPT,SP 02, 19.95 
23-Dec-2019,Miền Nam,Viettel,SP 08, 68.85 
25-Apr-2019,Miền Nam,FPT,SP 08, 67.82 
30-Aug-2019,Miền Nam,Gà Excel,SP 09, 275.00 
18-May-2020,Miền Trung,VNPT,SP 04, 510.00 
29-Jul-2020,Miền Nam,Viettel,SP 01, 158.30 
30-Nov-2019,Miền Trung,FPT,SP 03, 24.63 
04-Jul-2020,Miền Nam,Gà Excel,SP 02, 38.70 
05-Nov-2020,Miền Trung,VNPT,SP 03, 24.38 
01-Dec-2020,Miền Trung,Viettel,SP 08, 44.52 
06-Nov-2020,Miền Bắc,FPT,SP 04, 32.98 
26-Feb-2019,Miền Nam,Gà Excel,SP 04, 102.00 
15-Jan-2020,Miền Nam,VNPT,SP 06, 87.75 
23-Jul-2019,Miền Nam,Viettel,SP 03, 24.25 
05-Dec-2019,Miền Trung,FPT,SP 03, 98.50 
02-May-2019,Miền Trung,Gà Excel,SP 04, 33.15 
30-Apr-2019,Miền Trung,VNPT,SP 07, 329.00 
22-Nov-2019,Miền Trung,Viettel,SP 07, 47.00 
05-Oct-2019,Miền Nam,FPT,SP 08, 344.25 
27-Nov-2019,Miền Bắc,Gà Excel,SP 08, 22.95 
06-Dec-2019,Miền Trung,VNPT,SP 04, 68.00 
27-Dec-2020,Miền Bắc,Viettel,SP 10, 82.50 
13-Dec-2019,Miền Bắc,FPT,SP 10, 81.26 
04-Nov-2020,Miền Nam,Gà Excel,SP 02, 19.75 
26-Apr-2019,Miền Nam,VNPT,SP 03, 49.25 
24-Mar-2020,Miền Nam,Viettel,SP 02, 58.95 
07-Dec-2020,Miền Trung,FPT,SP 08, 44.52 
03-Oct-2020,Miền Nam,Gà Excel,SP 02, 39.90 
18-Nov-2019,Miền Bắc,VNPT,SP 05, 550.80 
30-Sep-2020,Miền Nam,Viettel,SP 04, 65.96 
15-Nov-2019,Miền Bắc,FPT,SP 05, 45.90 
31-Dec-2020,Miền Nam,Gà Excel,SP 10, 55.00 
24-Oct-2020,Miền Trung,VNPT,SP 02, 58.65 
06-Dec-2020,Miền Trung,Viettel,SP 09, 48.75 
19-Feb-2020,Miền Trung,FPT,SP 03, 50.00 
11-Oct-2020,Miền Bắc,Gà Excel,SP 01, 235.05 
27-Dec-2020,Miền Nam,VNPT,SP 01, 159.90 
08-Nov-2020,Miền Trung,Viettel,SP 01, 79.15 
13-Dec-2020,Miền Trung,FPT,SP 01, 236.25 
09-Dec-2019,Miền Trung,Gà Excel,SP 05, 45.44 
11-Feb-2020,Miền Nam,VNPT,SP 02, 58.35 
23-Sep-2020,Miền Bắc,Viettel,SP 04, 68.00 
04-Feb-2019,Miền Trung,FPT,SP 07, 46.30 
01-Aug-2020,Miền Trung,Gà Excel,SP 04, 99.45 
26-Jul-2020,Miền Nam,VNPT,SP 04, 99.96 
23-Nov-2020,Miền Bắc,Viettel,SP 10, 544.50 
26-Dec-2019,Miền Nam,FPT,SP 10, 53.63 
24-Apr-2019,Miền Trung,Gà Excel,SP 03, 24.75 
08-Dec-2019,Miền Trung,VNPT,SP 06, 118.20 
31-Mar-2019,Miền Nam,Viettel,SP 06, 523.80 
01-Aug-2020,Miền Nam,FPT,SP 09, 49.25 
21-Apr-2019,Miền Trung,Gà Excel,SP 07, 47.00 
30-Nov-2019,Miền Bắc,VNPT,SP 03, 75.00 
09-Nov-2019,Miền Nam,Viettel,SP 09, 24.63 
05-Dec-2019,Miền Bắc,FPT,SP 07, 70.50 
19-Nov-2019,Miền Nam,Gà Excel,SP 10, 55.00 
24-Dec-2020,Miền Trung,VNPT,SP 08, 66.78 
27-Dec-2019,Miền Bắc,Viettel,SP 06, 90.00 
18-Dec-2020,Miền Nam,FPT,SP 06, 29.55 
12-Dec-2020,Miền Trung,Gà Excel,SP 04, 99.45 
21-Jan-2020,Miền Nam,VNPT,SP 02, 19.75 
17-Jun-2020,Miền Trung,Viettel,SP 05, 22.95 
11-Nov-2019,Miền Trung,FPT,SP 04, 68.00 
02-Dec-2020,Miền Bắc,Gà Excel,SP 05, 384.30 
29-Dec-2020,Miền Trung,VNPT,SP 05, 44.75 
04-Jun-2019,Miền Nam,Viettel,SP 06, 30.00 
16-Aug-2019,Miền Nam,FPT,SP 04, 68.00 
20-Feb-2019,Miền Nam,Gà Excel,SP 05, 45.90 
12-Nov-2019,Miền Trung,VNPT,SP 09, 24.50 
16-Dec-2020,Miền Trung,Viettel,SP 07, 70.50 
07-Mar-2020,Miền Trung,FPT,SP 08, 22.72 
15-Apr-2019,Miền Nam,Gà Excel,SP 04, 100.98 
11-Dec-2020,Miền Bắc,VNPT,SP 05, 68.85 
30-Dec-2020,Miền Nam,Viettel,SP 08, 22.95 
19-Nov-2020,Miền Trung,FPT,SP 06, 58.20 
